,open,high,low,close,adjclose,volume,ticker
2018-06-20,6780.08984375,6810.93994140625,6715.169921875,6729.740234375,6729.740234375,3529129984.0,BTC-USD
2018-06-21,6737.8798828125,6747.080078125,6006.60009765625,6083.68994140625,6083.68994140625,5079810048.0,BTC-USD
2018-06-22,6090.10009765625,6224.81982421875,6071.81005859375,6162.47998046875,6162.47998046875,3431360000.0,BTC-USD
2018-06-23,6164.27978515625,6223.77978515625,5826.41015625,6173.22998046875,6173.22998046875,4566909952.0,BTC-USD
2018-06-24,6171.97021484375,6327.3701171875,6119.68017578125,6249.18017578125,6249.18017578125,5500810240.0,BTC-USD
2018-06-25,6253.5498046875,6290.16015625,6093.669921875,6093.669921875,6093.669921875,3279759872.0,BTC-USD
2018-06-26,6084.39990234375,6180.0,6052.85009765625,6157.1298828125,6157.1298828125,3296219904.0,BTC-USD
2018-06-27,6153.16015625,6170.41015625,5873.0498046875,5903.43994140625,5903.43994140625,3467800064.0,BTC-USD
2018-06-28,5898.1298828125,6261.66015625,5835.75,6218.2998046875,6218.2998046875,3966230016.0,BTC-USD
2018-06-29,6214.22021484375,6465.509765625,6214.22021484375,6404.0,6404.0,4543860224.0,BTC-USD
2018-06-30,6411.68017578125,6432.85009765625,6289.2900390625,6385.81982421875,6385.81982421875,4788259840.0,BTC-USD
2018-07-01,6380.3798828125,6683.85986328125,6305.7001953125,6614.18017578125,6614.18017578125,4396930048.0,BTC-USD
2018-07-02,6596.66015625,6671.3701171875,6447.75,6529.58984375,6529.58984375,4672309760.0,BTC-USD
2018-07-03,6550.8701171875,6771.919921875,6450.4599609375,6597.5498046875,6597.5498046875,4176689920.0,BTC-USD
2018-07-04,6599.7099609375,6749.5400390625,6546.64990234375,6639.14013671875,6639.14013671875,4999240192.0,BTC-USD
2018-07-05,6638.68994140625,6700.93994140625,6533.5498046875,6673.5,6673.5,4313959936.0,BTC-USD
2018-07-06,6668.7099609375,6863.990234375,6579.240234375,6856.93017578125,6856.93017578125,3961080064.0,BTC-USD
2018-07-07,6857.7998046875,6885.91015625,6747.97998046875,6773.8798828125,6773.8798828125,3386210048.0,BTC-USD
2018-07-08,6775.080078125,6838.68017578125,6724.33984375,6741.75,6741.75,3718129920.0,BTC-USD
2018-07-09,6739.2099609375,6767.740234375,6320.72021484375,6329.9501953125,6329.9501953125,4052430080.0,BTC-USD
2018-07-10,6330.77001953125,6444.9599609375,6330.47021484375,6394.7099609375,6394.7099609375,3644859904.0,BTC-USD
2018-07-11,6396.77978515625,6397.10009765625,6136.419921875,6228.81005859375,6228.81005859375,3770170112.0,BTC-USD
2018-07-12,6235.02978515625,6310.5498046875,6192.240234375,6238.0498046875,6238.0498046875,3805400064.0,BTC-USD
2018-07-13,6247.5,6298.18994140625,6212.22021484375,6276.1201171875,6276.1201171875,2923670016.0,BTC-USD
2018-07-14,6272.7001953125,6403.4599609375,6256.509765625,6359.64013671875,6359.64013671875,3285459968.0,BTC-USD
2018-07-15,6357.009765625,6741.75,6357.009765625,6741.75,6741.75,4725799936.0,BTC-USD
2018-07-16,6739.64990234375,7387.240234375,6684.169921875,7321.0400390625,7321.0400390625,5961950208.0,BTC-USD
2018-07-17,7315.31982421875,7534.990234375,7280.47021484375,7370.77978515625,7370.77978515625,6103410176.0,BTC-USD
2018-07-18,7378.2001953125,7494.4599609375,7295.4599609375,7466.85986328125,7466.85986328125,5111629824.0,BTC-USD
2018-07-19,7467.39990234375,7594.669921875,7323.259765625,7354.1298828125,7354.1298828125,4936869888.0,BTC-USD
2018-07-20,7352.72021484375,7437.64013671875,7262.41015625,7419.2900390625,7419.2900390625,3726609920.0,BTC-USD
2018-07-21,7417.7998046875,7537.9501953125,7383.81982421875,7418.490234375,7418.490234375,3695460096.0,BTC-USD
2018-07-22,7414.7099609375,7771.5,7409.10009765625,7711.10986328125,7711.10986328125,5132480000.0,BTC-USD
2018-07-23,7716.509765625,8424.26953125,7705.5,8424.26953125,8424.26953125,7277689856.0,BTC-USD
2018-07-24,8379.66015625,8416.8701171875,8086.35986328125,8181.39013671875,8181.39013671875,5845400064.0,BTC-USD
2018-07-25,8176.85009765625,8290.330078125,7878.7099609375,7951.580078125,7951.580078125,4899089920.0,BTC-USD
2018-07-26,7950.39990234375,8262.66015625,7839.759765625,8165.009765625,8165.009765625,5195879936.0,BTC-USD
2018-07-27,8169.06005859375,8222.849609375,8110.77001953125,8192.150390625,8192.150390625,3988750080.0,BTC-USD
2018-07-28,8205.8203125,8272.259765625,8141.18017578125,8218.4599609375,8218.4599609375,4107190016.0,BTC-USD
2018-07-29,8221.580078125,8235.5,7917.5,8180.47998046875,8180.47998046875,5551400000.0,BTC-USD
2018-07-30,8181.2001953125,8181.52978515625,7696.93017578125,7780.43994140625,7780.43994140625,5287530000.0,BTC-USD
2018-07-31,7769.0400390625,7769.0400390625,7504.9501953125,7624.91015625,7624.91015625,4797620000.0,BTC-USD
2018-08-01,7634.18994140625,7712.77001953125,7523.43994140625,7567.14990234375,7567.14990234375,4214110000.0,BTC-USD
2018-08-02,7562.14013671875,7562.14013671875,7328.64990234375,7434.39013671875,7434.39013671875,4627150000.0,BTC-USD
2018-08-03,7438.669921875,7497.490234375,6984.06982421875,7032.85009765625,7032.85009765625,4268390000.0,BTC-USD
2018-08-04,7031.080078125,7102.77001953125,6940.7001953125,7068.47998046875,7068.47998046875,3679110000.0,BTC-USD
2018-08-05,7062.93994140625,7166.5498046875,6890.5400390625,6951.7998046875,6951.7998046875,3925900000.0,BTC-USD
2018-08-06,6958.31982421875,7146.56005859375,6748.240234375,6753.1201171875,6753.1201171875,4682800000.0,BTC-USD
2018-08-07,6746.85009765625,6746.85009765625,6226.22021484375,6305.7998046875,6305.7998046875,5064430000.0,BTC-USD
2018-08-08,6305.56005859375,6625.72998046875,6249.06982421875,6568.22998046875,6568.22998046875,4267040000.0,BTC-USD
2018-08-09,6571.419921875,6591.259765625,6124.52001953125,6184.7099609375,6184.7099609375,4528680000.0,BTC-USD
2018-08-10,6185.7900390625,6455.740234375,6109.02978515625,6295.72998046875,6295.72998046875,4047850000.0,BTC-USD
2018-08-11,6283.64990234375,6409.85009765625,6237.5,6322.68994140625,6322.68994140625,5665250000.0,BTC-USD
2018-08-12,6341.35986328125,6537.0498046875,6225.72021484375,6297.56982421875,6297.56982421875,4083980000.0,BTC-USD
2018-08-13,6287.66015625,6287.93994140625,5971.0498046875,6199.7099609375,6199.7099609375,5301700000.0,BTC-USD
2018-08-14,6221.419921875,6588.490234375,6221.419921875,6308.52001953125,6308.52001953125,4895450000.0,BTC-USD
2018-08-15,6294.22998046875,6473.5,6276.41015625,6334.72998046875,6334.72998046875,4328420000.0,BTC-USD
2018-08-16,6340.91015625,6582.5,6324.97021484375,6580.6298828125,6580.6298828125,4992990000.0,BTC-USD
2018-08-17,6583.43017578125,6617.35009765625,6353.72998046875,6423.759765625,6423.759765625,3984520000.0,BTC-USD
2018-08-18,6422.56982421875,6537.97998046875,6361.5498046875,6506.06982421875,6506.06982421875,3311170000.0,BTC-USD
2018-08-19,6500.509765625,6536.919921875,6297.93017578125,6308.52978515625,6308.52978515625,3665100000.0,BTC-USD
2018-08-20,6301.06982421875,6500.8701171875,6298.240234375,6488.759765625,6488.759765625,3377180000.0,BTC-USD
2018-08-21,6486.25,6816.7900390625,6310.10986328125,6376.7099609375,6376.7099609375,4668110000.0,BTC-USD
2018-08-22,6371.33984375,6546.5400390625,6371.33984375,6534.8798828125,6534.8798828125,3426180000.0,BTC-USD
2018-08-23,6551.52001953125,6719.9599609375,6498.64013671875,6719.9599609375,6719.9599609375,4097820000.0,BTC-USD
2018-08-24,6719.9501953125,6789.6298828125,6700.9599609375,6763.18994140625,6763.18994140625,3312600000.0,BTC-USD
2018-08-25,6754.64013671875,6774.75,6620.75,6707.259765625,6707.259765625,3295500000.0,BTC-USD
